example_id                                       | status  | run_time        |
./spec/models/manufacturer_spec.rb[1:2:1:5]      | passed  | 0.00109 seconds |
./spec/models/manufacturer_spec.rb[1:2:2:1:1]    | passed  | 0.00106 seconds |
./spec/models/manufacturer_spec.rb[1:2:2:1:2]    | passed  | 0.00096 seconds |
./spec/models/manufacturer_spec.rb[1:2:2:1:3]    | passed  | 0.00114 seconds |
./spec/models/model_spec.rb[1:1:1:1]             | passed  | 0.00242 seconds |
./spec/models/network_spec.rb[1:1:1]             | passed  | 0.00265 seconds |
./spec/models/network_spec.rb[1:1:2]             | passed  | 0.00459 seconds |
./spec/models/network_spec.rb[1:2:1]             | passed  | 0.00393 seconds |
./spec/models/network_spec.rb[1:3:1]             | passed  | 0.13759 seconds |
./spec/models/network_spec.rb[1:4:1:1:1]         | passed  | 0.00135 seconds |
./spec/models/network_spec.rb[1:4:1:1:2]         | passed  | 0.00153 seconds |
./spec/models/network_spec.rb[1:4:1:1:3]         | passed  | 0.00148 seconds |
./spec/models/nic_spec.rb[1:1:1]                 | passed  | 0.00324 seconds |
./spec/models/nic_spec.rb[1:1:2]                 | passed  | 0.00296 seconds |
./spec/models/ownership_spec.rb[1:1:1]           | passed  | 0.00599 seconds |
./spec/models/ownership_spec.rb[1:1:2]           | passed  | 0.00346 seconds |
./spec/models/ownership_spec.rb[1:2:1]           | passed  | 0.05852 seconds |
./spec/models/person_spec.rb[1:1:1]              | passed  | 0.0035 seconds  |
./spec/models/person_spec.rb[1:1:2]              | passed  | 0.00582 seconds |
./spec/models/person_spec.rb[1:2:1:1:1]          | passed  | 0.00185 seconds |
./spec/models/person_spec.rb[1:2:1:1:2]          | passed  | 0.00174 seconds |
./spec/models/person_spec.rb[1:2:1:1:3]          | passed  | 0.00187 seconds |
./spec/models/person_spec.rb[1:2:2:1]            | passed  | 0.00179 seconds |
./spec/models/person_spec.rb[1:2:2:2]            | passed  | 0.0019 seconds  |
./spec/models/person_spec.rb[1:2:2:3]            | passed  | 0.00191 seconds |
./spec/models/person_spec.rb[1:2:2:4]            | passed  | 0.00193 seconds |
./spec/models/person_spec.rb[1:2:2:5]            | passed  | 0.00182 seconds |
./spec/models/person_spec.rb[1:2:3:1]            | passed  | 0.00207 seconds |
./spec/models/person_spec.rb[1:2:3:2]            | passed  | 0.00185 seconds |
./spec/models/person_spec.rb[1:2:3:3]            | passed  | 0.00186 seconds |
./spec/models/person_spec.rb[1:2:3:4]            | passed  | 0.00178 seconds |
./spec/models/person_spec.rb[1:2:4:1]            | passed  | 0.0019 seconds  |
./spec/models/person_spec.rb[1:2:5]              | passed  | 0.00401 seconds |
./spec/models/person_spec.rb[1:2:6]              | passed  | 0.00219 seconds |
./spec/models/purchase_spec.rb[1:1:1:1:1]        | passed  | 0.00583 seconds |
./spec/models/purchase_spec.rb[1:1:1:1:2]        | passed  | 0.00073 seconds |
./spec/models/purchase_spec.rb[1:1:1:1:3]        | passed  | 0.00057 seconds |
./spec/models/ticket_message_spec.rb[1:1]        | pending | 0.00001 seconds |
./spec/models/ticket_spec.rb[1:1]                | pending | 0.00001 seconds |
./spec/models/user_spec.rb[1:1:1]                | passed  | 0.05255 seconds |
./spec/models/user_spec.rb[1:1:2]                | passed  | 0.06172 seconds |
./spec/models/user_spec.rb[1:1:3]                | passed  | 0.05369 seconds |
./spec/models/user_spec.rb[1:1:4]                | passed  | 0.01988 seconds |
./spec/models/user_spec.rb[1:1:5]                | passed  | 0.03512 seconds |
./spec/models/user_spec.rb[1:1:6]                | passed  | 0.01985 seconds |
./spec/models/user_spec.rb[1:1:7]                | passed  | 0.02065 seconds |
./spec/models/user_spec.rb[1:1:8]                | passed  | 0.02675 seconds |
./spec/models/user_spec.rb[1:2:1]                | passed  | 0.01901 seconds |
./spec/models/user_spec.rb[1:2:2]                | passed  | 0.01835 seconds |
./spec/models/vendor_spec.rb[1:1:1]              | passed  | 0.0036 seconds  |
./spec/models/vendor_spec.rb[1:1:2]              | passed  | 0.00634 seconds |
./spec/models/vendor_spec.rb[1:2:1:1]            | passed  | 0.00299 seconds |
./spec/models/vendor_spec.rb[1:2:1:2]            | passed  | 0.00229 seconds |
./spec/models/vendor_spec.rb[1:2:1:3]            | passed  | 0.00236 seconds |
./spec/models/vendor_spec.rb[1:2:1:4]            | passed  | 0.00238 seconds |
./spec/models/vendor_spec.rb[1:2:1:5]            | passed  | 0.00239 seconds |
./spec/models/vendor_spec.rb[1:2:2:1:1]          | passed  | 0.0011 seconds  |
./spec/models/vendor_spec.rb[1:2:2:1:2]          | passed  | 0.00218 seconds |
./spec/models/vendor_spec.rb[1:2:2:1:3]          | passed  | 0.0022 seconds  |
./spec/models/warranty_spec.rb[1:1:1:1]          | passed  | 0.00822 seconds |
./spec/models/warranty_spec.rb[1:1:1:2]          | passed  | 0.00302 seconds |
./spec/models/warranty_spec.rb[1:1:1:3]          | passed  | 0.00314 seconds |
./spec/models/warranty_spec.rb[1:1:1:4]          | passed  | 0.0029 seconds  |
./spec/models/warranty_spec.rb[1:1:1:5]          | passed  | 0.00296 seconds |
./spec/requests/accessories_spec.rb[1:1:1:1]     | passed  | 0.55915 seconds |
./spec/requests/accessories_spec.rb[1:1:1:2]     | passed  | 0.55858 seconds |
./spec/requests/accessories_spec.rb[1:1:2:1]     | passed  | 0.52484 seconds |
./spec/requests/accessories_spec.rb[1:1:2:2]     | passed  | 0.52206 seconds |
./spec/requests/accessories_spec.rb[1:2:1:1]     | passed  | 0.56103 seconds |
./spec/requests/accessories_spec.rb[1:2:1:2]     | passed  | 0.54971 seconds |
./spec/requests/accessories_spec.rb[1:2:2:1]     | passed  | 0.54694 seconds |
./spec/requests/accessories_spec.rb[1:3:1]       | passed  | 0.56293 seconds |
./spec/requests/accessories_spec.rb[1:3:2]       | passed  | 0.54532 seconds |
./spec/requests/api/accessories_spec.rb[1:1:1]   | pending | 0.00001 seconds |
./spec/requests/api/assignments_spec.rb[1:1:1]   | pending | 0.00001 seconds |
./spec/requests/api/categories_spec.rb[1:1:1:1]  | passed  | 0.53739 seconds |
./spec/requests/api/categories_spec.rb[1:1:1:2]  | passed  | 0.51292 seconds |
./spec/requests/api/categories_spec.rb[1:1:2:1]  | passed  | 0.52216 seconds |
./spec/requests/api/categories_spec.rb[1:1:2:2]  | passed  | 0.51972 seconds |
./spec/requests/api/categories_spec.rb[1:2:1:1]  | passed  | 0.51593 seconds |
./spec/requests/api/categories_spec.rb[1:2:1:2]  | passed  | 0.52703 seconds |
./spec/requests/api/categories_spec.rb[1:2:2:1]  | passed  | 0.51783 seconds |
./spec/requests/api/categories_spec.rb[1:2:2:2]  | passed  | 0.53261 seconds |
./spec/requests/api/companies_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/api/components_spec.rb[1:1:1]    | pending | 0.00001 seconds |
./spec/requests/api/consumables_spec.rb[1:1:1]   | pending | 0.00001 seconds |
./spec/requests/api/contracts_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/api/departments_spec.rb[1:1:1]   | pending | 0.00001 seconds |
./spec/requests/api/fields_spec.rb[1:1:1]        | pending | 0.00001 seconds |
./spec/requests/api/fieldsets_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/api/ip_leases_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/api/items_spec.rb[1:1:1]         | pending | 0.00001 seconds |
./spec/requests/api/licenses_spec.rb[1:1:1]      | pending | 0.00001 seconds |
./spec/requests/api/locations_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/api/manufacturers_spec.rb[1:1:1] | pending | 0.00001 seconds |
./spec/requests/api/models_spec.rb[1:1:1]        | pending | 0.00001 seconds |
./spec/requests/api/networks_spec.rb[1:1:1]      | pending | 0.00001 seconds |
./spec/requests/api/nics_spec.rb[1:1:1]          | pending | 0.00001 seconds |
./spec/requests/api/orders_spec.rb[1:1:1]        | pending | 0.00001 seconds |
./spec/requests/api/ownerships_spec.rb[1:1:1]    | pending | 0.00001 seconds |
./spec/requests/api/people_spec.rb[1:1:1]        | pending | 0.00001 seconds |
./spec/requests/api/purchases_spec.rb[1:1:1]     | pending | 0.00001 seconds |
./spec/requests/api/users_spec.rb[1:1:1]         | pending | 0.00001 seconds |
./spec/requests/api/vendors_spec.rb[1:1:1]       | pending | 0.00002 seconds |
./spec/requests/api/warranties_spec.rb[1:1:1]    | pending | 0.00002 seconds |
./spec/requests/assignments_spec.rb[1:1:1:1]     | passed  | 0.7043 seconds  |
./spec/requests/assignments_spec.rb[1:1:1:2]     | passed  | 0.70005 seconds |
./spec/requests/assignments_spec.rb[1:1:1:3]     | passed  | 0.749 seconds   |
./spec/requests/assignments_spec.rb[1:1:1:4]     | passed  | 0.74621 seconds |
./spec/requests/categories_spec.rb[1:1:1:1]      | passed  | 0.53876 seconds |
./spec/requests/categories_spec.rb[1:1:1:2]      | passed  | 0.5242 seconds  |
./spec/requests/categories_spec.rb[1:1:2:1]      | passed  | 0.54013 seconds |
./spec/requests/categories_spec.rb[1:1:2:2]      | passed  | 0.52325 seconds |
./spec/requests/categories_spec.rb[1:2:1:1]      | passed  | 0.52499 seconds |
